Priority,Status,Assignee,Reporter,Creator,Date Created,Date Updated,Date Resolved,Time Spent,Time Spent (Without Outliers),Repair Time,Repair Time (Without Outliers),completed,open,failed_fix,assigned,last28,Assigned to a Developer,Created by a Developer,Reported by a Developer
5 - Blocker,Todo,JosephWallace,RyanFord,RyanFord,2020-01-29,2021-06-02,NA,490,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
5 - Blocker,Resolved,NancyKraus,PeterMorrissey,PeterMorrissey,2019-11-26,2020-01-14,2020-01-14,49,49,49,49,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
5 - Blocker,Resolved,NA,MattChild,MattChild,2019-08-28,2019-09-09,2019-09-09,12,12,12,12,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
5 - Blocker,Resolved,NA,MattChild,MattChild,2019-08-28,2019-09-09,2019-09-09,12,12,12,12,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
5 - Blocker,Resolved,NancyKraus,MattChild,MattChild,2019-07-16,2019-07-16,2019-07-16,0,NA,0,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
5 - Blocker,Resolved,PeteSchatz,MattChild,MattChild,2018-03-07,2018-03-13,2018-03-13,6,6,6,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
5 - Blocker,Resolved,PeteSchatz,RyanScranton,RyanScranton,2018-03-05,2018-03-07,2018-03-07,2,NA,2,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
5 - Blocker,Resolved,NA,BrittanyMcCray,BrittanyMcCray,2018-03-06,2018-03-07,2018-03-07,1,NA,1,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
5 - Blocker,Resolved,JosephWallace,JohnSieck,JohnSieck,2018-02-09,2018-03-06,2018-03-06,25,25,25,25,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
5 - Blocker,Resolved,DanielBiester,MattChild,MattChild,2017-08-25,2018-02-06,2018-02-06,165,NA,165,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
5 - Blocker,Resolved,NancyKraus,NancyKraus,NancyKraus,2017-12-22,2018-02-06,2018-02-06,46,46,46,46,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
5 - Blocker,Resolved,DanielBiester,MattChild,MattChild,2017-09-27,2017-10-11,2017-10-11,14,14,14,14,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
5 - Blocker,Resolved,DanielBiester,RyanScranton,RyanScranton,2017-09-26,2017-09-28,2017-09-28,2,NA,2,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
5 - Blocker,Resolved,JosephWallace,RyanScranton,RyanScranton,2017-05-31,2017-06-06,2017-06-06,6,6,6,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
5 - Blocker,Resolved,DanielBiester,RyanScranton,RyanScranton,2017-05-31,2017-06-06,2017-06-06,6,6,6,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
4 - Critical,Todo,NA,MichaelJones,MichaelJones,2019-12-18,2020-04-30,NA,134,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
4 - Critical,Resolved,PeterMorrissey,MattChild,MattChild,2019-12-03,2020-01-14,2020-01-14,42,42,42,42,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
4 - Critical,Resolved,PeterMorrissey,ScottSummerford,ScottSummerford,2019-11-25,2020-01-14,2020-01-14,50,50,50,50,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
4 - Critical,Resolved,ScottSummerford,AlanJones,AlanJones,2019-07-22,2019-07-31,2019-07-31,9,9,9,9,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
4 - Critical,Todo,NA,JohnSieck,JohnSieck,2019-03-18,2019-07-26,NA,130,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
4 - Critical,Todo,NA,NancyKraus,NancyKraus,2018-01-16,2019-07-25,NA,555,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
4 - Critical,Todo,NA,RyanScranton,RyanScranton,2018-03-12,2019-07-05,NA,480,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
4 - Critical,Todo,NA,RyanScranton,RyanScranton,2019-05-03,2019-05-23,NA,20,20,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
4 - Critical,Todo,NA,RyanScranton,RyanScranton,2018-09-12,2019-04-22,NA,222,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
4 - Critical,Resolved,DrewPolhamus,RyanScranton,RyanScranton,2018-09-20,2019-01-16,2019-01-16,118,118,118,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
4 - Critical,Resolved,NA,MattChild,MattChild,2018-07-13,2018-09-07,2018-09-07,56,56,56,56,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
