Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Assign to team),Custom field (Backlog Weight),Custom field (Business Value),Custom field (Due Date),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Flagged),Custom field (Funding Source),Custom field (Impact),Custom field (Pre-Condition),Custom field (Previous Names),Custom field (Product Line(s)),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Requirements),Custom field (SimV Story Points Deprecated),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (T-Shirt),Custom field (Zephyr Teststep),Comment,Comment,Comment,Comment,Comment
Specify a date range for roadmaps,MMP-727,34033,,New Feature,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,,MattChild,MattChild,6/13/2018 13:07,1/10/2020 13:12,6/1/2021 9:14,,,1.0.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzyzg7:,9.22337E+18,,,,,,,,,,,,,,
Edit List of Program Managers,MMP-724,34030,,New Feature,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,,MattChild,MattChild,6/13/2018 13:06,1/10/2020 13:12,6/1/2021 9:14,,,1.0.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzyzfz:,9.22337E+18,,,,,,,,,,,,,,
Edit List of STOs,MMP-726,34032,,New Feature,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,,MattChild,MattChild,6/13/2018 13:06,1/10/2020 13:12,6/1/2021 9:14,,,1.0.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzyzfr:,9.22337E+18,,,,,,,,,,,,,,
Edit List of JCAs,MMP-725,34031,,New Feature,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,,MattChild,MattChild,6/13/2018 13:06,1/10/2020 13:12,6/1/2021 9:14,,,1.0.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzyzfj:,9.22337E+18,,,,,,,,,,,,,,
LOCKED and DENIED account status values not saving,MMP-716,26939,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,,DavidTuell,DavidTuell,9/6/2016 14:13,1/10/2020 13:12,6/1/2021 9:14,,,1.0.1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzy7nr:,9.22337E+18,,,,,,,2,,,07/Sep/16 9:06 AM;DavidTuell;Confirmed working on production build. Issue was raised due to missing dependency from the Windows service installation.,,,,
Updating a user hangs when correcting validation errors,MMP-715,26938,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,,DavidTuell,DavidTuell,9/6/2016 14:11,1/10/2020 13:12,6/1/2021 9:14,,,MMP 1.0.1.1,,0,,,"When a user is modified, then validation errors occur (blank display name in this case), the UI hangs when the user re-submits the form. No JavaScript errors show up in the console.",,,,,,,,,,,,,,,,,,#NAME?,,,,,,,,,,,,,,,2|hzy7nj:,9.22337E+18,,,,,,,2,,,08/Sep/16 9:00 AM;MatthewDavis;No Findings.,,,,
Write SQL Script to Install a New MMP Database,MMP-712,26138,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,,DavidTuell,DavidTuell,7/10/2016 15:28,1/10/2020 13:12,6/1/2021 9:14,,,MMP 1.0.1,,0,,,Create a SQL script to generate a new database for MMP. The database script needs to populate sufficient Informedb Enterprise records but leave the objects and links tables themselves clean.,,,,,,,,,,,,,,,15/Aug/16 2:54 PM;DavidTuell;MMP-712.docx;https://jira.dev.simventions.com/secure/attachment/14001/MMP-712.docx,15/Aug/16 2:54 PM;DavidTuell;MMP-712_POW_Example.sql;https://jira.dev.simventions.com/secure/attachment/14002/MMP-712_POW_Example.sql,,#NAME?,,,,,,,,,,,,,,,2|hzxzvb:,9.22337E+18,,,FY16 Multi-Project,,,,8,,,"10/Aug/16 9:50 AM;MatthewDavis;Script can be found in repository under /MMP/SQL/
File is named Create_New_MMP_Database.sql",20/Aug/16 7:55 PM;MatthewDavis;use of sqlcmd and variables implemented.,22/Aug/16 11:10 AM;DavidTuell;Re-review: Modify script to populate MRMVersion. Add MRMVersion data to MMPClone and re-test. This will fix About text errors in InfEnt,,
Determine/Confirm Available MMP Databases for Version 1.0.1,MMP-710,26136,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,,DavidTuell,DavidTuell,7/10/2016 15:18,1/10/2020 13:12,6/1/2021 9:14,,,MMP 1.0.1,,0,,,Meet with/Email Roy to determine number and exact names of MMP databases that will be available in the new version.,,,,,,,,,,,,,,,,,,#NAME?,,,,,,,,,,,,,,,2|hzxzv3:,9.22337E+18,,,FY16 Multi-Project,,,,1,,,24/Jul/16 12:36 PM;DavidTuell;Will be discussed at the IPR on 27 July.,"06/Aug/16 11:55 AM;DavidTuell;Roy stated to use a generic 2nd database only for now. May need to offer support to rename it later.

""MCSC ABC""",,,
Move MMP Database Table lookup from Configuration File to Database Query,MMP-707,26133,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,,DavidTuell,DavidTuell,7/10/2016 15:12,1/10/2020 13:12,6/1/2021 9:14,,,MMP 1.0.1,,0,,,"The MMP database tables, object type IDs, and relationship type IDs are currently stored in web.config to circumvent Informedb Enterprise's lookup methodology. Modify the MMP data layer to use InfEnt's lookups once again and remove the config settings.
",,,,,,,,,,,,,,,08/Aug/16 12:28 AM;MatthewDavis;MMP-707.docx;https://jira.dev.simventions.com/secure/attachment/13998/MMP-707.docx,,,#NAME?,,,,,,,,,,,,,,,2|hzxzuv:,9.22337E+18,,,FY16 Multi-Project,,,,13,,,24/Jul/16 12:35 PM;DavidTuell;Table names should stay in web.config. This is what the app will use to look up the type ID information.,08/Aug/16 12:28 AM;MatthewDavis;See attached findings.,,,
Add column-based search boxes to user table,MMP-685,25118,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,MatthewDavis,DavidTuell,DavidTuell,4/8/2016 10:56,1/10/2020 13:12,6/1/2021 9:14,,,MMP 1.0.1,,0,,,"As an MMP administrator, I would like the ability to filter users by individual columns of information.

(RFI: Remove general Search box?)",,,,,,,,,,,,MMP-701,,,,,,#NAME?,,,,,,,,,,,,,,,2|hzxwe7:,9.22337E+18,,,FY16 Maintenance,,,,5,,,02/May/16 1:51 PM;DavidTuell;See MMP-679 for code review attachment.,"09/May/16 7:25 AM;DavidTuell;Reviewed in team meeting, no findings.","17/May/16 11:56 AM;FredKrieg;5/17/2016 Fred K and Andrew C ran Zephyr test MMP-701 successfully, test written by Dave T on 5/16/17.",,
